"id","name","iconUrl","status","databaseUrl"
"10646","Goblin Sapper Charge","https://database.turtlecraft.gg/images/icons/large/spell_fire_selfdestruct.png","ok","https://database.turtlecraft.gg/?item=10646"
"12217","Dragonbreath Chili","https://database.turtlecraft.gg/images/icons/large/inv_drink_23.png","ok","https://database.turtlecraft.gg/?item=12217"
"12450","Juju Flurry","https://database.turtlecraft.gg/images/icons/large/inv_misc_monsterscales_17.png","ok","https://database.turtlecraft.gg/?item=12450"
"12451","Juju Power","https://database.turtlecraft.gg/images/icons/large/inv_misc_monsterscales_11.png","ok","https://database.turtlecraft.gg/?item=12451"
"12455","Juju Ember","https://database.turtlecraft.gg/images/icons/large/inv_misc_monsterscales_15.png","ok","https://database.turtlecraft.gg/?item=12455"
"12457","Juju Chill","https://database.turtlecraft.gg/images/icons/large/inv_misc_monsterscales_09.png","ok","https://database.turtlecraft.gg/?item=12457"
"12460","Juju Might","https://database.turtlecraft.gg/images/icons/large/inv_misc_monsterscales_07.png","ok","https://database.turtlecraft.gg/?item=12460"
"12662","Demonic Rune","https://database.turtlecraft.gg/images/icons/large/inv_misc_rune_04.png","ok","https://database.turtlecraft.gg/?item=12662"
"12820","Winterfall Firewater","https://database.turtlecraft.gg/images/icons/large/inv_potion_92.png","ok","https://database.turtlecraft.gg/?item=12820"
"13180","Stratholme Holy Water","https://database.turtlecraft.gg/images/icons/large/inv_potion_75.png","ok","https://database.turtlecraft.gg/?item=13180"
"13442","Mighty Rage Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_125.png","ok","https://database.turtlecraft.gg/?item=13442"
"13444","Major Mana Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_76.png","ok","https://database.turtlecraft.gg/?item=13444"
"13445","Elixir of Superior Defense","https://database.turtlecraft.gg/images/icons/large/inv_potion_66.png","ok","https://database.turtlecraft.gg/?item=13445"
"13446","Major Healing Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_54.png","ok","https://database.turtlecraft.gg/?item=13446"
"13452","Elixir of the Mongoose","https://database.turtlecraft.gg/images/icons/large/inv_potion_32.png","ok","https://database.turtlecraft.gg/?item=13452"
"13454","Greater Arcane Elixir","https://database.turtlecraft.gg/images/icons/large/inv_potion_25.png","ok","https://database.turtlecraft.gg/?item=13454"
"13455","Greater Stoneshield Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_69.png","ok","https://database.turtlecraft.gg/?item=13455"
"13456","Greater Frost Protection Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_20.png","ok","https://database.turtlecraft.gg/?item=13456"
"13457","Greater Fire Protection Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_117.png","ok","https://database.turtlecraft.gg/?item=13457"
"13458","Greater Nature Protection Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_22.png","ok","https://database.turtlecraft.gg/?item=13458"
"13459","Greater Shadow Protection Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_23.png","ok","https://database.turtlecraft.gg/?item=13459"
